title mz rt ions peptides
1087 qExactive01819.1577.1577.+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D1577%22 352.905822753906 6.8571085 1 40
1088 qExactive01819.1577.1577.+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D1577%22 352.905822753906 6.8571085 2 3
1265 qExactive01819.1574.1574.+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D1574%22 442.97021484375 6.8446326 0 736
1266 qExactive01819.1574.1574.+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D1574%22 442.97021484375 6.8446326 1 70
1267 qExactive01819.1574.1574.+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D1574%22 442.97021484375 6.8446326 2 6
1363 qExactive01819.735.735.+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D735%22 366.988403320313 3.4491289 0 19
1364 qExactive01819.735.735.+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D735%22 366.988403320313 3.4491289 1 9
1399 qExactive01819.314.314.+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D314%22 372.895416259766 1.5191137 0 489
1400 qExactive01819.314.314.+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D314%22 372.895416259766 1.5191137 1 25
1401 qExactive01819.314.314.+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D314%22 372.895416259766 1.5191137 2 1
1576 qExactive01819.1308.1308.+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D1308%22 428.891479492188 5.7972579 0 772
1577 qExactive01819.1308.1308.+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D1308%22 428.891479492188 5.7972579 1 11
1650 qExactive01819.1177.1177.+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D1177%22 443.9697265625 5.2716007 0 629
1651 qExactive01819.1177.1177.+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D1177%22 443.9697265625 5.2716007 1 86
1652 qExactive01819.1177.1177.+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D1177%22 443.9697265625 5.2716007 2 14
1660 qExactive01819.1375.1375.+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D1375%22 386.854339599609 6.0585094 0 348
1661 qExactive01819.1375.1375.+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D1375%22 386.854339599609 6.0585094 1 75
1662 qExactive01819.1375.1375.+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D1375%22 386.854339599609 6.0585094 2 7
1693 qExactive01819.648.648.+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D648%22 668.177368164063 3.0709452 1 3
1707 qExactive01819.459.459.+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D459%22 425.943328857422 2.1897318 0 262
1708 qExactive01819.459.459.+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D459%22 425.943328857422 2.1897318 1 16
1709 qExactive01819.459.459.+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D459%22 425.943328857422 2.1897318 2 1
1897 qExactive01819.1309.1309.+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D1309%22 445.825500488281 5.8007074 0 2
1898 qExactive01819.1309.1309.+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D1309%22 445.825500488281 5.8007074 1 1
1911 qExactive01819.1507.1507.+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D1507%22 444.825836181641 6.5799332 1 1
1980 qExactive01819.60.60.+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D60%22 425.943389892578 0.28883317 0 280
1981 qExactive01819.60.60.+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D60%22 425.943389892578 0.28883317 1 2
1982 qExactive01819.1176.1176.+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D1176%22 331.950897216797 5.26692 0 308
1983 qExactive01819.1176.1176.+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D1176%22 331.950897216797 5.26692 1 53
1984 qExactive01819.1176.1176.+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D1176%22 331.950897216797 5.26692 2 1
2038 qExactive01819.672.672.+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D672%22 371.91162109375 3.1770948 0 229
2039 qExactive01819.672.672.+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D672%22 371.91162109375 3.1770948 1 34
2040 qExactive01819.672.672.+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D672%22 371.91162109375 3.1770948 2 6
2041 qExactive01819.672.672.+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D672%22 371.91162109375 3.1770948 3 2
2089 qExactive01819.1508.1508.+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D1508%22 346.981994628906 6.5846122 0 18
2129 qExactive01819.9.9.+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D9%22 372.895538330078 0.035447534 0 516
2350 qExactive01819.940.940.+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D940%22 354.885314941406 4.3046715 0 245
2351 qExactive01819.940.940.+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D940%22 354.885314941406 4.3046715 1 1
2439 qExactive01819.1575.1575.+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D1575%22 374.9033203125 6.8493114 0 191
2619 qExactive01819.1109.1109.+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D1109%22 353.901214599609 4.9916424 0 148
2663 qExactive01819.1376.1376.+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D1376%22 443.969573974609 6.063188 0 632
2664 qExactive01819.1376.1376.+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D1376%22 443.969573974609 6.063188 1 67
2665 qExactive01819.1376.1376.+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D1376%22 443.969573974609 6.063188 2 7
2817 qExactive01819.361.361.+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D361%22 442.969970703125 1.7426808 0 689
2818 qExactive01819.361.361.+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D361%22 442.969970703125 1.7426808 1 93
2819 qExactive01819.361.361.+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D361%22 442.969970703125 1.7426808 2 11
2820 qExactive01819.1242.1242.+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D1242%22 431.89111328125 5.5330378 0 941
2821 qExactive01819.1242.1242.+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D1242%22 431.89111328125 5.5330378 1 6
2855 qExactive01819.219.219.+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D219%22 430.887847900391 1.0736038 0 903
2856 qExactive01819.219.219.+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D219%22 430.887847900391 1.0736038 1 14
2857 qExactive01819.219.219.+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D219%22 430.887847900391 1.0736038 2 1
2960 qExactive01819.1701.1701.+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D1701%22 545.889099121094 7.3701375 0 34
3085 qExactive01819.282.282.+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D282%22 354.885406494141 1.3662138 0 243
3086 qExactive01819.282.282.+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D282%22 354.885406494141 1.3662138 1 3
3131 qExactive01819.1241.1241.+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D1241%22 372.895629882813 5.5283425 0 515
3132 qExactive01819.1241.1241.+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D1241%22 372.895629882813 5.5283425 1 2
3159 qExactive01819.1498.1498.2+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D1498%22 394.877655029297 6.5490421 0 871
3160 qExactive01819.1498.1498.2+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D1498%22 394.877655029297 6.5490421 1 18
3229 qExactive01819.782.782.+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D782%22 331.950927734375 3.6471606 0 308
3230 qExactive01819.782.782.+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D782%22 331.950927734375 3.6471606 1 53
3231 qExactive01819.782.782.+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D782%22 331.950927734375 3.6471606 2 1
3518 qExactive01819.53.53.+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D53%22 428.891326904297 0.25977082 0 753
3519 qExactive01819.53.53.+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D53%22 428.891326904297 0.25977082 1 11
3898 qExactive01819.845.845.+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D845%22 425.943298339844 3.9114911 0 270
3899 qExactive01819.845.845.+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D845%22 425.943298339844 3.9114911 1 2
3932 qExactive01819.1441.1441.+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D1441%22 443.969604492188 6.3230023 0 561
3933 qExactive01819.1441.1441.+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D1441%22 443.969604492188 6.3230023 1 131
3934 qExactive01819.1441.1441.+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D1441%22 443.969604492188 6.3230023 2 19
3967 qExactive01819.1700.1700.+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D1700%22 431.891326904297 7.3649505 0 970
3968 qExactive01819.1700.1700.+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D1700%22 431.891326904297 7.3649505 1 6
3969 qExactive01819.195.195.+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D195%22 425.943420410156 0.94866447 0 280
3970 qExactive01819.195.195.+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D195%22 425.943420410156 0.94866447 1 2
4315 qExactive01819.1500.1500.+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D1500%22 434.870208740234 6.5562458 0 331
4376 qExactive01819.1178.1178.3+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D1178%22 533.191162109375 5.2762961 0 4
4439 qExactive01819.1040.1040.+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D1040%22 428.8916015625 4.7129442 0 788
4440 qExactive01819.1040.1040.+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D1040%22 428.8916015625 4.7129442 1 12
4538 qExactive01819.3098.3098.+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D3098%22 338.9716796875 14.639131 0 32
4943 qExactive01819.1300.1300.+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D1300%22 434.882781982422 5.7685496 0 642
4966 qExactive01819.1578.1578.+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D1578%22 373.894500732422 6.8606978 0 370
4981 qExactive01819.758.758.+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D758%22 431.891204833984 3.5482894 0 961
4982 qExactive01819.758.758.+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D758%22 431.891204833984 3.5482894 1 1
4983 qExactive01819.896.896.+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D896%22 425.943511962891 4.123982 0 272
4984 qExactive01819.896.896.+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D896%22 425.943511962891 4.123982 1 2
5078 qExactive01819.822.822.+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D822%22 347.966003417969 3.8156801 0 116
5079 qExactive01819.822.822.+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D822%22 347.966003417969 3.8156801 1 10
5144 qExactive01819.774.774.+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D774%22 372.895599365234 3.6153988 0 515
5145 qExactive01819.774.774.+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D774%22 372.895599365234 3.6153988 1 2
5197 qExactive01819.227.227.+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D227%22 428.891143798828 1.1080182 0 780
5198 qExactive01819.227.227.+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D227%22 428.891143798828 1.1080182 1 11
5697 qExactive01819.1639.1639.+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D1639%22 432.887847900391 7.1035907 0 767
5759 qExactive01819.2928.2928.+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D2928%22 428.891387939453 13.794421 0 771
5760 qExactive01819.2928.2928.+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D2928%22 428.891387939453 13.794421 1 11
5792 qExactive01819.2598.2598.+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D2598%22 428.891204833984 11.977673 0 743
5793 qExactive01819.2598.2598.+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D2598%22 428.891204833984 11.977673 1 44
5794 qExactive01819.2598.2598.+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D2598%22 428.891204833984 11.977673 2 1
5838 qExactive01819.2060.2060.+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D2060%22 428.891235351563 9.2450742 0 771
5839 qExactive01819.2060.2060.+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D2060%22 428.891235351563 9.2450742 1 17
5882 qExactive01819.1100.1100.+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D1100%22 354.885345458984 4.9570228 0 245
5883 qExactive01819.1100.1100.+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D1100%22 354.885345458984 4.9570228 1 1
5928 qExactive01819.1644.1644.+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D1644%22 490.86279296875 7.1249992 0 28
5929 qExactive01819.1101.1101.+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D1101%22 462.836273193359 4.9602491 0 2
6064 qExactive01819.1248.1248.+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D1248%22 444.949951171875 5.5555711 0 253
6065 qExactive01819.1248.1248.+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D1248%22 444.949951171875 5.5555711 1 44
6066 qExactive01819.1248.1248.+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D1248%22 444.949951171875 5.5555711 2 4
6345 qExactive01819.849.849.+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D849%22 311.944793701172 3.929723 0 267
6346 qExactive01819.849.849.+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D849%22 311.944793701172 3.929723 1 1
6587 qExactive01819.1439.1439.+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D1439%22 366.988525390625 6.3136427 0 23
6588 qExactive01819.1439.1439.+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D1439%22 366.988525390625 6.3136427 1 5
6692 qExactive01819.936.936.+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D936%22 444.949890136719 4.2888353 0 237
6693 qExactive01819.936.936.+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D936%22 444.949890136719 4.2888353 1 54
6694 qExactive01819.936.936.+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D936%22 444.949890136719 4.2888353 2 7
6714 qExactive01819.515.515.+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D515%22 311.944732666016 2.4552852 0 267
6715 qExactive01819.515.515.+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D515%22 311.944732666016 2.4552852 1 1
6722 qExactive01819.2139.2139.+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D2139%22 428.890930175781 9.6719514 0 738
6723 qExactive01819.2139.2139.+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D2139%22 428.890930175781 9.6719514 1 23
6803 qExactive01819.542.542.+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D542%22 442.970306396484 2.5778461 0 701
6804 qExactive01819.542.542.+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D542%22 442.970306396484 2.5778461 1 98
6805 qExactive01819.542.542.+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D542%22 442.970306396484 2.5778461 2 13
6806 qExactive01819.542.542.+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D542%22 442.970306396484 2.5778461 3 1
6807 qExactive01819.1048.1048.+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D1048%22 462.836273193359 4.7425713 0 2
6853 qExactive01819.2994.2994.+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D2994%22 432.885375976563 14.131403 0 688
7012 qExactive01819.1444.1444.+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D1444%22 434.870056152344 6.3326827 0 334
7082 qExactive01819.1834.1834.+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D1834%22 430.888275146484 8.0991009 0 905
7083 qExactive01819.1834.1834.+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D1834%22 430.888275146484 8.0991009 1 10
7163 qExactive01819.687.687.+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D687%22 354.88525390625 3.2399712 0 333
7164 qExactive01819.687.687.+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D687%22 354.88525390625 3.2399712 1 1
7165 qExactive01819.1636.1636.+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D1636%22 352.906036376953 7.0916415 0 212
7166 qExactive01819.1636.1636.+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D1636%22 352.906036376953 7.0916415 1 34
7167 qExactive01819.1636.1636.+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D1636%22 352.906036376953 7.0916415 2 3
7168 qExactive01819.1636.1636.+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D1636%22 352.906036376953 7.0916415 3 1
7177 qExactive01819.1648.1648.+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D1648%22 425.943542480469 7.1416706 0 273
7178 qExactive01819.1648.1648.+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D1648%22 425.943542480469 7.1416706 1 2
7497 qExactive01819.983.983.+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D983%22 442.970123291016 4.4796342 0 643
7498 qExactive01819.983.983.+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D983%22 442.970123291016 4.4796342 1 149
7499 qExactive01819.983.983.+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D983%22 442.970123291016 4.4796342 2 15
7606 qExactive01819.1244.1244.+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D1244%22 331.950988769531 5.5414038 0 306
7607 qExactive01819.1244.1244.+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D1244%22 331.950988769531 5.5414038 1 55
7608 qExactive01819.1244.1244.+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D1244%22 331.950988769531 5.5414038 2 1
7960 qExactive01819.1303.1303.+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D1303%22 444.949951171875 5.7786842 0 240
